Ichnogenera,Author Ichnogenera,Ichnoespecies,Author ichnospecie,Ichnoconcept,Ichnoconcept name,Concept described in,Paper year,Period/Epoch,age (Ma),Low interval age (Ma),Upper interval age (Ma),Ethology,Pre- Postdepositational,Locality,Abundance,Settings,Deep-sea zone,Epeiric sea,Depth mbsl core sample,Depth-specific or outcrop rough estimated,Low depth interval (m),Upper depth interval (m),Sedimentary structures related,Ichno acronimum,Sediment type,grain size,Grain size mm,Low interval grain size mm,Upper grain size mm,Outcrop or sediment,Outcrop,Core,Country,Coordenates,Basin,Siliciclastic or Carbonaceous,Siliciclastic,Carbonate,Mix,Ash ,BI,UTM Coordenates,Lat,S-N,Long,E-W,Latitude (Y) decimal degrees,Longitude (X) decimal degrees,Full Reference
Paleophycus,,none,none,Ichnofabrics,"ier III: Palaeophycus-Planolites, Scolicia Ichnofabrics","Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,,,The South China Sea,5,Province I-Slope of the Philippines,southwest of the channel between the Calamian Islands,0,4300,4300,4300,4300,n 7 and 16 cm below the seafloor.,,"planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",,,,Sediment,0,0,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",114⁰40' E and 15⁰30'N and southwest of the channel between the Calamian Islands," The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Phil ippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",0,0,0,0,NI,50 N 249682 1714992,,N,,E,15.49999909,114.6666674,
Planolites,,none,none,Ichnofabrics,"Scolicia ichnofabrics, Tier III; PAlaeophycus-Planolites","Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,Pascichnia,,The South China Sea,5,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Phil ippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",southwest of the channel between the Calamian Islands,0,4300,4300,4300,4300,n 7 and 16 cm below the seafloor.,,"planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",,,,Sediment,0,0,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",114⁰40' E and 15⁰30'N and southwest of the channel between the Calamian Islands,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",0,0,0,0,NI,50 N 249682 1714992,,N,,E,15.49999909,114.6666674,
Thalassinoides,,none,none,Ichnofabric,"Scolicia Ichnofabrics, Tier VI-Thalassinoides","Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,,,The South China Sea,5," The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Phil ippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",southwest of the channel between the Calamian Islands,0,4300,4300,4300,4300,ound between 10 and 20 cm below the sea floor,,"planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",,,,Sediment,0,0,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",114⁰40' E and 15⁰30'N and southwest of the channel between the Calamian Islands,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Phil ippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",0,0,0,0,NI,50 N 249682 1714992,,N,,E,15.49999909,114.6666674,
Chondrites,,none,none,Ichnofabric,"Scolicia Ichnofabrics, Tier IV; Thalassinoides","Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,Chemichnia,,The South China Sea,3," The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Phil ippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",southwest of the channel between the Calamian Islands,0,4300,4300,4300,4300,ound between 10 and 20 cm below the sea floor,,"planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",,,,Sediment,0,0,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",114⁰40' E and 15⁰30'N and southwest of the channel between the Calamian Islands,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",0,0,0,0,NI,50 N 249682 1714992,,N,,E,15.49999909,114.6666674,
Biodeformational structures,,none,none,Ichnofabric,"Mud-prone deposits Ichnofabrics, Tier I","Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,,,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Phil ippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",10," The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Phil ippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",north of 15?30'N and in the area between 14?40'N and the channel between Min doro and the Calamian Islands. ,0,4300,4300,4300,4300,structures occupy a layer up to 5 cm thick.,,"planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",,,,Sediment,0,0,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",north of 15⁰30'N and in the area between 14⁰40'N and the channel between Mindoro and the Calamian Islands. ,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan),","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",0,0,0,0,NI,50 N 249682 1714992,,N,,E,15.49999909,114.6666674,
Paleophycus,,none,none,Ichnofabric,Mud-prone Ichnofabric-Tier II; Palaeophycus-Planolites ,"Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,,,The South China Sea,5," The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Phil ippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",north of 15⁰30'N and in the area between 14⁰40'N and the channel between Mindoro and the Calamian Islands. ,0,4300,4300,4300,4300,layer up to 5 cm thick. Tier II: Palaeophycus-Planolites occupy an interval between 5 and 15 cm,,"planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",,,,Sediment,0,0,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",; north of 15⁰30'N and in the area between 14⁰40'N and the channel between Mindoro and the Calamian Islands. ,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",0,0,0,0,NI,50 N 249682 1714992,,N,,E,15.49999909,114.6666674,
Planolites,,none,none,Ichnofabric ,Mudprone ichnofabric occupy an interval between 5 and 15 cm; small Scolicia (<2 cm diameter) may be found down to 5-10 cm. ,"Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,Pascichnia,,The South China Sea,5," The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Phil ippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",15⁰30'N and in the area between 14⁰40'N and the channel between Mindoro and the Calamian Islands. ,0,4300,4300,4300,4300,occupy an interval between 5 and 15 cm; small Scolicia (<2 cm diameter) may be found down to 5-10 cm. ,," planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979)."," planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",,,,Sediment,0,0,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",15⁰30'N and in the area between 14⁰40'N and the channel between Mindoro and the Calamian Islands. ,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",0,0,0,0,NI,50 N 249682 1714992,,N,,E,15.49999909,114.6666674,
Scolicia,,none,none,Ichnofabric,"Mudprone ichnofabric, Tiering II","Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,Pascichnia,,north of 15⁰30'N and in the area between 14⁰40'N and the channel between Mindoro and the Calamian Islands. ,5,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",north of 15⁰30'N and in the area between 14⁰40'N and the channel between Mindoro and the Calamian Islands. ,0,4300,4300,4300,4300,(<2 cm diameter) may be found down to 5-10 cm.,Sc,"planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",,,,Sediment,0,0,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",north of 15⁰30'N and in the area between 14⁰40'N and the channel between Mindoro and the Calamian Islands. ,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",0,0,0,0,NI,50 N 249682 1714992,,N,,E,15.49999909,114.6666674,
Thalassinoides,,none,none,Ichnofabric,"Mudprone ichnofabric, Tier III","Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,,,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",5,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",north of 15⁰30'N and in the area between 14⁰40'N and the channel between Mindoro and the Calamian Islands. ,0,4300,4300,4300,4300,e present below 10-15 cm; Chondrites may also be present.,,"planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",,,,Sediment,0,0,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",north of 15⁰30'N and in the area between 14⁰40'N ,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",0,0,0,0,NI,50 N 249682 1714992,,N,,E,15.49999909,114.6666674,
Chondrites,,none,none,Ichnofabric,Mudprone ichnofabric; Tier III,"Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,Chemichnia,,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",3," The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",north of 15⁰30'N and in the area between 14⁰40'N and the channel between Mindoro and the Calamian Islands. ,0,4300,4300,4300,4300,may also be present.,Ch,"planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",,,,Sediment,0,0,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",15⁰30'N and in the area between 14⁰40'N ,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",0,0,0,0,NI,50 N 249682 1714992,,N,,E,15.49999909,114.6666674,
Zoophycos,,none,none,Ichnofabric,Mudprone ichnofabric; Tier IV,"Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,,,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",5,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",; north of 15⁰30'N and in the area between 14⁰40'N and the channel between Mindoro and the Calamian Islands. ,0,4300,4300,4300,4300,"small, up to 2-cm diameter (or lacking)",Zo,"planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",,,,Sediment,0,0,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",; north of 15⁰30'N and in the area between 14⁰40'N and the channel between Mindoro and the Calamian Islands. ," The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",0,0,0,0,NI,50 N 249682 1714992,,N,,E,15.49999909,114.6666674,
Spirophyton-like Zoophycos,,none,none,Ichnofabric,Mudprone ichnofabric; Tier IV,"Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,,,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",5," The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",north of 15⁰30'N and in the area between 14⁰40'N and the channel between Mindoro and the Calamian Islands. ,0,4300,4300,4300,4300,"small, up to 2-cm diameter (or lacking",,"planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",,,,Sediment,0,0,"Province I comprises the continental slope of the Philippines (Luzon, Calamian Islands, Palawan), ",north of 15⁰30'N and in the area between 14⁰40'N and the channel between Mindoro and the Calamian Islands. ,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).",0,0,0,0,NI,50 N 249682 1714992,,N,,E,15.49999909,114.6666674,
Scolicia,,none,none,bioturbation strucutres,bioturbation strucutres; early colonization organisms,"Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,,,Province II-Manila Trench,3,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",Sedimentation in canyons and within the Manila Trench ,0,4300,4300,4300,4300,sediment gravity flows originating mainly from the Philippines. Tur bidites and possible hyperpycnal flow deposits ,Sc,"planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).smectite-rich clay fraction (Chen, 1978).","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979).smectite-rich clay fraction (Chen, 1978).",,,,Sediment,0,0,Sedimentation in canyons and within the Manila Trench is dom,Province II is the Manila Trench ,Manila Trench,"planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979). smectite-rich clay fraction (Chen, 1978).",0,0,0,0,NI,49 N 397284 1161125,,N,,E,10.50250101,110.0613332,
Phycosiphon ,,none,none,Bioturbation structures,Bioturbation structures; Province II is the Manila Trench ,"Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,,,Province II is the Manila Trench ,3,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",Sedimentation in canyons and within the Manila Trench ,0,4300,4300,4300,4300,gravity flows originating mainly from the Philippines. Tur bidites and possible hyperpycnal flow deposits ,,"planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979). smectite-rich clay fraction (Chen, 1978).","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979). smectite-rich clay fraction (Chen, 1978).",,,,Sediment,0,0,Province II is the Manila Trench ,Province II is the Manila Trench ,Province II is the Manila Trench ,"planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979). smectite-rich clay fraction (Chen, 1978).",0,0,0,0,NI,49 N 397284 1161125,,N,,E,10.50250101,110.0613332,
Biodeformational structures ,,none,none,Ichnofabric,1991 ash ichnofabrics; Tier I,"Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,Complex,,Province III is west of the Manila Trench with no up welling,10,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.","Province III is west of the Manila Trench with no up welling, ",0,4300,4300,4300,4300,occupy a 1-2-cm-thick interval.,,"ash) near-surface sedi ments varies between 0.2% and 0.4% Corg. The sediments are mainly brownish, but several black horizons stained by Mn-oxides ","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979). smectite-rich clay fraction (Chen, 1978).",,,,Sediment,0,0,"Province III is west of the Manila Trench with no up welling, ","Province III is west of the Manila Trench with no up welling, ","The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979). smectite-rich clay fraction (Chen, 1978).",0,0,0,0,NI,49 N 397284 1161125,,N,,E,10.50250101,110.0613332,
Planolites ,,none,none,Ichofabric,1991 ash ichnofabrics; Tier II Planolites,"Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,Pascichnia,,Province III is west of the Manila Trench with no up welling,5,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",Province III is west of the Manila Trench with no up welling,0,4300,4300,4300,4300,"found below, down to about 5-8 cm.",,"ash) near-surface sedi ments varies between 0.2% and 0.4% Corg. The sediments are mainly brownish, but several black horizons stained by Mn-oxides are found within the sediments, in >10 cm depth below the seafloor.","ash) near-surface sedi ments varies between 0.2% and 0.4% Corg. The sediments are mainly brownish, but several black horizons stained by Mn-oxides are found within the sediments, in >10 cm depth below the seafloor.",,,,Sediment,0,0,Province III is west of the Manila Trench with no up welling,Province III is west of the Manila Trench with no up welling,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979). smectite-rich clay fraction (Chen, 1978).",0,0,0,0,NI,49 N 397284 1161125,,N,,E,10.50250101,110.0613332,
Thalassinoides,,none,none,Ichnofabric,1991 ash ichnofabrics; Tier II Planolites,"Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,,,Province III is west of the Manila Trench with no up welling,10,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",Province III is west of the Manila Trench with no up welling,0,4300,4300,4300,4300,"found below, down to about 5-8 cm.",,"ash) near-surface sedi ments varies between 0.2% and 0.4% Corg. The sediments are mainly brownish, but several black horizons stained by Mn-oxides are found within the sediments, in >10 cm depth below the seafloor.","ash) near-surface sedi ments varies between 0.2% and 0.4% Corg. The sediments are mainly brownish, but several black horizons stained by Mn-oxides are found within the sediments, in >10 cm depth below the seafloor.",,,,Sediment,0,0,Province III is west of the Manila Trench with no up welling,Province III is west of the Manila Trench with no up welling,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979). smectite-rich clay fraction (Chen, 1978).",0,0,0,0,NI,49 N 397284 1161125,,N,,E,10.50250101,110.0613332,
Asterosoma cf.,,none,none,Ichnofabric,1991 ash ichnofabrics; Tier II Planolites,"Andreas Wetzel, 2007",2008,Upper Pleistocene-Holocne? 1991,0.0117-000,0.0117,0,,,Province III is west of the Manila Trench with no up welling,3,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.",Province III is west of the Manila Trench with no up welling,0,4300,4300,4300,4300,"found below, down to about 5-8 cm.",,"ash) near-surface sedi ments varies between 0.2% and 0.4% Corg. The sediments are mainly brownish, but several black horizons stained by Mn-oxides are found within the sediments, in >10 cm depth below the seafloor.","ash) near-surface sedi ments varies between 0.2% and 0.4% Corg. The sediments are mainly brownish, but several black horizons stained by Mn-oxides are found within the sediments, in >10 cm depth below the seafloor.",,,,Sediment,0,0,Province III is west of the Manila Trench with no up welling,Province III is west of the Manila Trench with no up welling,"The South China Sea, shelf regions and deep basins, prominen onet ~4300-m-deep basin between the Philippines and Vietnam. To the east, the deep basin of the South China Sea passes into the Manila Trench, >5000 m in depth and acts as sediment trap.","planktic and benthic shells, turbidites, density-driven flows, volcanic ash layer, suboxic, grayish sediments marked by the occurrence of dark Mn-oxides the so-called redox bound ary (e.g., Froelich et al., 1979). smectite-rich clay fraction (Chen, 1978).",0,0,0,0,NI,49 N 397284 1161125,,N,,E,10.50250101,110.0613332,
